status;family;pval;qval;gene_short_name;num_cells_expressed
OK;negbinomial;4.95847624032074e-236;5.68378526483574e-235;Crabp2;6713
OK;negbinomial;1.78636313253648e-141;1.11582972481627e-140;Ran;7491
OK;negbinomial;0;0;Wls;5142
OK;negbinomial;2.47661075058525e-35;5.01606782660828e-35;Ndn;5486
OK;negbinomial;5.93107348747325e-36;1.20807782282654e-35;Lamp5;723
OK;negbinomial;2.114669631424e-16;3.04213154587365e-16;Tmem158;1832
OK;negbinomial;5.28702780286159e-115;2.6373946562886e-114;Chrna3;1384
OK;negbinomial;0;0;Rpl32;7508
OK;negbinomial;0;0;Rhoc;3360
OK;negbinomial;1.132198371734e-39;2.41334074291471e-39;Vcan;2489
OK;negbinomial;2.86127075209802e-20;4.4423908290859e-20;Map2;5961
OK;negbinomial;1.66237138326788e-234;1.86583871403243e-233;Hsp90aa1;7507
OK;negbinomial;0;0;Cntnap2;5352
OK;negbinomial;0;0;Rpl12;7503
OK;negbinomial;1.36694550427118e-25;2.3397677217668e-25;Nusap1;2570
OK;negbinomial;0;0;H3f3a;7508
OK;negbinomial;8.25625145385342e-140;5.04028948528445e-139;Cdk1;4300
OK;negbinomial;5.74631189690452e-61;1.5916840794125e-60;Optc;860
OK;negbinomial;7.66223665586262e-40;1.63810714220079e-39;Celf4;2534
OK;negbinomial;7.65716720220571e-144;4.85329274139803e-143;Ybx1;7506
OK;negbinomial;2.50702866054344e-316;4.82379175155524e-315;Sparc;4978
OK;negbinomial;3.47530216079007e-26;6.01548285662859e-26;Birc5;4094
OK;negbinomial;2.30086062771302e-199;2.1842972038421e-198;Dut;6220
OK;negbinomial;0;0;Mlf1;1881
OK;negbinomial;0;0;Id2;4130
OK;negbinomial;7.92131553814283e-36;1.61041839478281e-35;S100a10;1233
OK;negbinomial;2.56200588811257e-157;1.76393696130434e-156;Rpl41;7508
OK;negbinomial;5.0629148216163e-252;6.57263942203803e-251;Ccnd1;2831
OK;negbinomial;0;0;Cited2;5983
OK;negbinomial;0;0;Bcl11a;6045
OK;negbinomial;2.89774823965234e-294;4.99571796516063e-293;Fth1;7507
OK;negbinomial;2.97461585071631e-140;1.83151347379818e-139;Pde1a;1560
OK;negbinomial;2.08026792299915e-217;2.15527758368422e-216;Sox2;5571
OK;negbinomial;8.37861723065561e-101;3.66990246586643e-100;Ebf3;1297
OK;negbinomial;9.06801657179091e-90;3.49580960862422e-89;Anp32b;6856
OK;negbinomial;3.60280904117842e-180;3.02103248394533e-179;Tcf4;7418
OK;negbinomial;4.42158009569196e-38;9.22410949294887e-38;Pcp4;654
OK;negbinomial;1.14124562658216e-34;2.2814325837519e-34;Scrt2;1556
OK;negbinomial;4.62669140823831e-178;3.76246037160511e-177;Calm1;7500
OK;negbinomial;0;0;Otx2;1673
OK;negbinomial;8.27340600732825e-55;2.14035893706991e-54;Nxph4;1159
OK;negbinomial;1.74865328876253e-06;2.01408222195791e-06;Elavl2;6141
OK;negbinomial;0;0;Rps4x;7508
OK;negbinomial;1.21930393105857e-64;3.52697982742446e-64;Ubb;7508
OK;negbinomial;1.03879163555304e-100;4.52241611033699e-100;Lhx5;1053
OK;negbinomial;2.31198475396476e-174;1.83173792088017e-173;Cnih2;3321
OK;negbinomial;5.40847462227231e-11;6.93352933432292e-11;Btg2;6023
OK;negbinomial;8.54475547468488e-22;1.36197840591316e-21;Grasp;2219
OK;negbinomial;7.69545558846441e-175;6.16494676324937e-174;Ppp1r14b;7497
OK;negbinomial;1.02141845047292e-310;1.88133056475994e-309;Calr;7427
OK;negbinomial;3.45845952088873e-323;6.8181059126092e-322;Lmo2;5644
OK;negbinomial;3.56982332803695e-10;4.45969233154761e-10;Bhlhe22;905
OK;negbinomial;2.21865086004246e-17;3.25916332882856e-17;Tubb2a;3247
OK;negbinomial;0;0;Rps27a;7508
OK;negbinomial;1.48626211047393e-22;2.40457571176525e-22;Cd24a;6820
OK;negbinomial;7.81238438237715e-36;1.58977227044596e-35;Nrp2;647
OK;negbinomial;0;0;Wnt7b;4872
OK;negbinomial;4.04460419138479e-241;4.86934191756102e-240;Tpi1;7165
OK;negbinomial;1.22103748930554e-42;2.70435332934578e-42;Myt1l;1161
OK;negbinomial;1.16153592788199e-40;2.52329629494525e-40;Tuba1b;7119
OK;negbinomial;1.08792766951536e-82;3.8751803765382e-82;Nasp;7042
OK;negbinomial;0;0;Rpl3;7507
OK;negbinomial;9.43922956636005e-51;2.30891483717434e-50;Hmgb1;7491
OK;negbinomial;5.49334285608215e-23;9.02298312108005e-23;Ucma;220
OK;negbinomial;6.0564737172107e-203;5.82665216990583e-202;Pthlh;965
OK;negbinomial;2.78778028122522e-15;3.90108214677945e-15;Gng3;1910
OK;negbinomial;6.45903015634831e-17;9.41759809670542e-17;Mki67;3344
OK;negbinomial;1.2395886109405e-104;5.64759715978179e-104;Krt18;870
OK;negbinomial;6.82988448256143e-71;2.12386739681384e-70;Calm2;7447
OK;negbinomial;2.7908034203712e-72;8.83139702041107e-72;Ppp2r2b;1870
OK;negbinomial;6.93147933539983e-73;2.21622225041345e-72;Bcl11b;4874
OK;negbinomial;6.38110767984915e-199;5.97882045655431e-198;Lmo4;2860
OK;negbinomial;6.26801317128148e-104;2.83177534258105e-103;Chl1;440
OK;negbinomial;2.24502149993424e-243;2.76458361849045e-242;mt-Nd2;7508
OK;negbinomial;1.55845778903255e-25;2.66545756775011e-25;Miat;3424
OK;negbinomial;0;0;Tpbg;4161
OK;negbinomial;2.87175502392266e-10;3.60013500672096e-10;Dusp8;1028
OK;negbinomial;5.97959478002297e-59;1.60874241584888e-58;Plk2;526
OK;negbinomial;2.22283361216046e-140;1.37380431032419e-139;Olfm1;3135
OK;negbinomial;1.20561385369789e-15;1.70478861858199e-15;Hn1;7489
OK;negbinomial;2.40919133571133e-78;8.18897054961815e-78;Nfia;6562
OK;negbinomial;4.18212701355079e-110;2.02527723914651e-109;Plxna2;1281
OK;negbinomial;5.80551423870686e-180;4.8304568279588e-179;Cav2;633
OK;negbinomial;1.17433089067632e-174;9.33831390925263e-174;Hspa5;7238
OK;negbinomial;2.50942577788515e-250;3.23821110858832e-249;Rpl14;7508
OK;negbinomial;1.68814535238818e-142;1.06062776513018e-141;Prdm8;623
OK;negbinomial;4.11911197752535e-98;1.73034820888248e-97;Hmga2;4866
OK;negbinomial;4.78279260239545e-208;4.72794406337716e-207;H2afv;7484
OK;negbinomial;3.6962713922157e-12;4.83928605724473e-12;Podxl2;4978
OK;negbinomial;1.23257897627118e-97;5.11793389954603e-97;Srrm4;3023
OK;negbinomial;1.4223236321248e-199;1.36226996765731e-198;Plvap;846
OK;negbinomial;0;0;Socs2;4985
OK;negbinomial;8.5515553145137e-233;9.45056497578308e-232;Rpl23;7508
OK;negbinomial;0;0;Tle1;4976
OK;negbinomial;5.72661392793862e-74;1.86136546224853e-73;Epha3;866
OK;negbinomial;0;0;Id4;4195
OK;negbinomial;0;0;Rplp0;7506
OK;negbinomial;1.52820497864699e-261;2.12469788966727e-260;Rps18;7507
OK;negbinomial;3.55335899242403e-75;1.16908223338531e-74;Kcnc1;536
OK;negbinomial;2.65402770331633e-82;9.42245420205385e-82;Perp;596
OK;negbinomial;1.05476325772323e-51;2.61868066865617e-51;H1f0;6025
OK;negbinomial;6.43204456514366e-19;9.71342399291142e-19;Sct;102
OK;negbinomial;0;0;Rps3a1;7507
OK;negbinomial;1.24282083372655e-58;3.32705453003814e-58;Kif21b;2459
OK;negbinomial;1.35049722978879e-34;2.69723960166343e-34;Necab3;1111
OK;negbinomial;4.46086072243631e-16;6.39172530375681e-16;Wnt10a;1266
OK;negbinomial;1.07898851399634e-236;1.25687580954709e-235;Rps19;7508
OK;negbinomial;6.16927293744476e-09;7.49424080056002e-09;Dlk1;195
OK;negbinomial;2.94634525810022e-236;3.39538718246308e-235;Pou3f2;1768
OK;negbinomial;2.01192053585292e-75;6.66004417014291e-75;Tesc;406
OK;negbinomial;9.88131291682493e-324;1.97626258336499e-322;Cdv3;7169
OK;negbinomial;3.52205080175872e-92;1.3901134574707e-91;Dynlrb2;421
OK;negbinomial;9.39048575435233e-44;2.11900490058945e-43;Mfng;4829
OK;negbinomial;3.53103574908066e-140;2.1679151109028e-139;Rpl13;7508
OK;negbinomial;1.02234001033273e-130;5.85942213368891e-130;Hsp90ab1;7508
OK;negbinomial;1.28344364581762e-173;1.00942374333466e-172;Mfge8;2462
OK;negbinomial;5.46856233289112e-263;7.70245217475841e-262;Pidd1;1441
OK;negbinomial;4.78730854334489e-34;9.46481643202591e-34;Ccna2;3702
OK;negbinomial;2.17527967180923e-65;6.35193454302019e-65;Smc4;5041
OK;negbinomial;7.29343235996213e-30;1.35144855853125e-29;Ccnb2;2947
OK;negbinomial;3.38300500779818e-253;4.47262318515649e-252;Pgap1;3810
OK;negbinomial;1.26243192395559e-142;7.95479764948626e-142;Clmn;956
OK;negbinomial;5.47300192096741e-171;4.18238267364708e-170;Rpl22l1;7400
OK;negbinomial;2.44727070096233e-24;4.10098628349442e-24;Adra1a;139
OK;negbinomial;3.44140342970074e-197;3.15584016638514e-196;Sfrp1;2524
OK;negbinomial;2.76178297080481e-61;7.67953845430242e-61;Efna3;1315
OK;negbinomial;4.59037348035354e-57;1.20637254270267e-56;Filip1l;444
OK;negbinomial;3.51746973250858e-314;6.59143241179426e-313;Sema6a;3280
OK;negbinomial;1.98181909880165e-45;4.5385974048008e-45;Trp53i11;4561
OK;negbinomial;2.20260465349993e-252;2.89427623676362e-251;Rpl27a;7508
OK;negbinomial;2.1594375931981e-186;1.88404373009794e-185;Pgam1;7326
OK;negbinomial;0;0;Lrrn1;5454
OK;negbinomial;7.67715391764554e-97;3.16333971176408e-96;Tmem178;1635
OK;negbinomial;5.02702058647156e-25;8.5570532099891e-25;Clvs1;1311
OK;negbinomial;6.44938966177434e-317;1.25211123818475e-315;Jam3;6325
OK;negbinomial;0;0;Lrp1b;2088
OK;negbinomial;3.20380718385698e-97;1.32264453663061e-96;Hmgcs1;5896
OK;negbinomial;9.84107123044504e-90;3.78705508957305e-89;Gnai2;7260
OK;negbinomial;9.86147676897436e-112;4.80802770071035e-111;Hs3st1;853
OK;negbinomial;1.07413662236355e-52;2.7104969803202e-52;Pou2f2;1313
OK;negbinomial;3.0588397512429e-42;6.75389309828735e-42;Btbd17;3937
OK;negbinomial;1.14530376300873e-104;5.22908815526232e-104;Nsg1;5626
OK;negbinomial;8.42131938772815e-67;2.49627830544074e-66;Gas6;351
OK;negbinomial;9.67094629673006e-138;5.78913590818147e-137;Irx5;763
OK;negbinomial;1.26769848713462e-25;2.17161386309628e-25;Lzts1;1978
OK;negbinomial;1.4415425102431e-94;5.80658712069885e-94;Vat1;3043
OK;negbinomial;1.79155670348636e-36;3.67695685334581e-36;Dek;6578
OK;negbinomial;8.85523816640109e-20;1.36210123116305e-19;Dner;1146
OK;negbinomial;3.37938662263888e-121;1.7849456303399e-120;Hsp90b1;7217
OK;negbinomial;4.5428183746868e-295;7.89497870762101e-294;Eno1;6552
OK;negbinomial;1.05483420054651e-28;1.90382554621251e-28;Celf3;1692
OK;negbinomial;0;0;Rpl10a;7508
OK;negbinomial;1.83510049028277e-45;4.20706548570146e-45;Ptms;7485
OK;negbinomial;2.64138756708862e-06;3.02776074844466e-06;Soga3;4549
OK;negbinomial;0;0;Serpinh1;6861
OK;negbinomial;2.69243473749694e-43;6.01263923244135e-43;Rbfox3;1755
OK;negbinomial;2.26696532815955e-61;6.31993568199718e-61;Nrxn1;1275
OK;negbinomial;2.71021297025003e-35;5.48404596327588e-35;Robo2;1993
OK;negbinomial;1.71428285405406e-33;3.36455332466894e-33;mt-Nd1;7508
OK;negbinomial;5.65746663881907e-171;4.30807088574385e-170;Aplp1;3804
OK;negbinomial;1.28316740052784e-119;6.66319457382528e-119;Bbc3;1538
OK;negbinomial;2.5768204987407e-27;4.52571163389259e-27;St18;1782
OK;negbinomial;2.45238893896999e-63;6.99060603634965e-63;Eya2;1912
OK;negbinomial;1.65496414106339e-247;2.07351611859978e-246;Rpl8;7508
OK;negbinomial;2.31230912407847e-19;3.52406376406584e-19;Tff3;266
OK;negbinomial;3.22475976199762e-66;9.519667516582e-66;Fam212b;1176
OK;negbinomial;6.96919319274197e-29;1.26312963249445e-28;Gm28050;297
OK;negbinomial;4.00780328889921e-44;9.08182553898822e-44;Insm2;309
OK;negbinomial;1.3688852004547e-12;1.80645903672987e-12;Plxna4;536
OK;negbinomial;8.12856313726216e-93;3.22597671469612e-92;Ncl;7353
OK;negbinomial;4.40100092043799e-12;5.74449241886364e-12;Trnp1;111
OK;negbinomial;1.48006403739412e-60;4.07869309537637e-60;9530053A07Rik;239
OK;negbinomial;9.14333948211065e-19;1.37501022916598e-18;Tyms;4797
