spring1,spring2
277.3527,4391.90185
-1073.41501,1837.93426
2842.91346,530.11407
1791.0488,1613.8355
-44.53145,1188.70773
-237.36346,1983.30566
-460.21938,972.60765
792.64207,3422.06405
-664.17797,1113.28889
-752.9837,1134.58077
-434.92932,1234.65203
2593.10551,1670.37593
-59.64085,2160.35558
-226.7854,1927.98805
1453.98353,1877.8796
-121.79235,887.65701
790.28322,3902.05931
2011.40613,1673.65927
-228.09461,1984.1226
2501.12048,1683.04078
-359.90315,1293.08411
792.00067,3702.05165
2302.93914,1887.37541
1326.38513,1382.04622
1743.15018,1620.5766
2886.91536,974.71584
1244.07787,1520.3253
1717.69114,1437.1469
956.70851,2092.9231
179.03325,2896.07153
-96.44321,894.53084
-823.09486,1850.12438
882.37773,2483.24727
-845.2563,1187.77644
2157.25879,1831.00809
-160.05584,941.47679
-650.77921,1084.83239
785.17219,3614.99662
1465.635,1612.04006
786.31205,3486.77897
-278.31748,2028.24007
1551.16537,1724.55734
-631.34059,1869.70762
-1061.09315,1788.55453
-710.58121,1782.01055
1318.26843,1602.43808
-855.48621,1365.34886
-147.16414,1777.48221
2856.03097,621.0716
-736.18711,1350.80788
-812.17783,1796.16253
630.71361,4491.57541
1619.17273,1506.09268
-868.29027,1554.77486
-5.83798,1587.07975
2786.747,339.09905
1621.13405,2003.84328
-875.60567,1241.08502
2367.79728,1855.915
1447.50994,1332.52195
-412.14782,1587.89745
326.45884,4075.03402
823.32983,4118.0938
779.48207,3053.70934
-216.5156,1390.52723
-677.40934,1413.1812
1921.96653,1428.02588
28.8767,1462.33082
1552.2991,2030.90726
-313.34153,1103.30587
-560.20051,1142.75657
1226.06164,2050.93638
2208.50065,1879.69234
2637.4227,1411.23897
-699.49246,1929.3476
-1091.11204,1685.60178
137.24636,2864.08736
2879.22537,1012.52937
888.0395,2060.06805
1699.59747,1532.44811
1814.05195,1839.91313
1397.62232,2020.55116
-902.70741,1499.62793
-778.54195,1390.18822
1322.06844,1835.186
2186.4045,1944.95886
1099.97604,1528.96095
264.1595,3984.88911
-808.00349,1188.75183
2736.90497,1625.70869
1849.03602,1969.08395
1159.71927,2085.67921
-1058.58431,1824.62833
-193.47401,2342.82766
822.3424,3160.25446
-450.65474,1165.95294
2026.95169,1366.19542
348.02714,4422.96271
184.39292,4048.61877
167.96838,1421.28383
2878.30604,971.41876
-629.80655,1729.61522
-1164.79233,1605.49567
-397.32537,1159.71638
721.73645,2441.84744
-715.40833,1193.69419
187.52294,2657.40594
744.44155,4079.22694
-431.77551,871.17643
2693.64159,1623.71298
1328.31173,1488.27201
-886.28564,1839.87391
1436.61605,1996.0359
-10.50138,955.59398
-696.91722,1930.66869
1897.71143,2036.22065
-403.58256,965.20594
-46.63751,1993.07523
734.75989,2013.30069
1537.60967,2127.48161
1464.43816,1758.91745
2056.84351,1712.23828
1412.24165,1474.55111
1178.67958,1519.05554
1386.64932,1551.24629
-248.63492,982.52102
-999.79717,1742.35086
-455.92549,1893.01455
746.84471,3629.67882
1202.28313,1367.6434
550.49876,3252.31968
1971.2634,1814.35952
1319.37912,1825.56413
1588.60519,1353.40848
791.47959,2869.05539
-850.93418,1560.42267
2089.42414,1510.05065
2865.5191,694.31849
1587.28733,1560.33329
-600.08162,1002.11598
207.92117,3306.81806
-274.28623,759.19231
-854.53816,1242.62497
228.75952,4312.50045
720.73268,4337.82852
-985.59842,1682.38396
-338.17794,1276.52476
1968.82653,1589.02812
659.30742,2091.59707
1487.00895,1360.47478
2369.67077,1675.04838
336.93381,3092.68355
1704.34477,1803.98209
2800.78766,1305.10916
-1096.76842,1807.23965
-1012.1541,1379.62645
-1146.29126,1679.41036
558.1362,2346.71742
-19.2411,2003.67161
2874.68922,719.28077
726.95291,2094.33215
-680.42213,1506.58747
